,bus_lat,bus_lon,stop,status
0,40.712751,-73.992586,PIKE ST/MADISON ST,at stop
1,40.803419,-73.933082,2 AV/E 125 ST,approaching
2,40.793085,-73.94063,2 AV/E 108 ST,< 1 stop away
3,40.724258,-73.987731,1 AV / 4 ST,< 1 stop away
4,40.77275,-73.955472,2 AV/E 75 ST,< 1 stop away
5,40.747317,-73.974048,2 AV/E 36 ST,approaching
6,40.765064,-73.961079,2 AV/E 66 ST,approaching
7,40.779009,-73.94779,1 AV/E 89 ST,at stop
8,40.744099,-73.973269,1 AV/E 34 ST,at stop
9,40.714775,-73.992787,PIKE ST/MADISON ST,< 1 stop away
10,40.712854,-73.992339,PIKE ST/MADISON ST,at stop
11,40.749649,-73.972341,2 AV/E 42 ST,at stop
12,40.749043,-73.969528,1 AV/E 42 ST,at stop
13,40.701964,-74.012722,WATER ST/BROAD ST,< 1 stop away
14,40.765327,-73.960889,2 AV/E 66 ST,approaching
15,40.800233,-73.935401,2 AV/E 119 ST,< 1 stop away
16,40.792334,-73.938081,1 AV/E 111 ST,approaching
17,40.754446,-73.965723,1 AV/E 52 ST,approaching
18,40.755943,-73.964624,1 AV/E 55 ST,< 1 stop away
19,40.739293,-73.976776,1 AV/E 27 ST,approaching
20,40.701623,-74.01185,SOUTH ST/WHITEHALL ST,at stop
